dataset,project,model,n_instances,n_features,minority_class_percentage,repeat,fold,precision,recall,f1_score,g_mean,accuracy,auc,mcc,PD,PF
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,1,1,0.29310344827586204,0.265625,0.2786885245901639,0.37665355132704204,0.42105263157894735,0.33948863636363635,-0.20356347357592094,0.265625,0.4659090909090909
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,1,1,0.34782608695652173,0.25,0.2909090909090909,0.40592207044299433,0.4868421052631579,0.4509943181818182,-0.09770275036731824,0.25,0.3409090909090909
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,1,2,0.3898305084745763,0.359375,0.37398373983739835,0.46082312718162766,0.4934210526315789,0.4751420454545454,-0.050368524429713395,0.359375,0.4090909090909091
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,1,2,0.4339622641509434,0.359375,0.39316239316239315,0.4866834653597197,0.5328947368421053,0.5110973011363636,0.019131388197946114,0.359375,0.3409090909090909
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,1,2,0.47058823529411764,0.25,0.32653061224489793,0.44594129250792236,0.5657894736842105,0.4833984375,0.053855266593633114,0.25,0.20454545454545456
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,1,2,0.36,0.421875,0.38848920863309355,0.43790565609085663,0.4407894736842105,0.4297762784090909,-0.12203992224274542,0.421875,0.5454545454545454
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,1,2,0.2923076923076923,0.296875,0.29457364341085274,0.3764177744329974,0.40131578947368424,0.40225497159090906,-0.22539251190417592,0.296875,0.5227272727272727
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,1,2,0.3508771929824561,0.3125,0.3305785123966942,0.42556780252440923,0.46710526315789475,0.44371448863636365,-0.11009637651263607,0.3125,0.42045454545454547
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,1,3,0.4406779661016949,0.40625,0.42276422764227645,0.5038911092686593,0.5328947368421053,0.515625,0.03166021535581985,0.40625,0.375
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,1,3,0.46551724137931033,0.421875,0.4426229508196721,0.5227427122225792,0.5526315789473685,0.5261008522727272,0.0707419163490789,0.421875,0.3522727272727273
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,1,3,0.5862068965517241,0.265625,0.3655913978494624,0.47896075944789995,0.6118421052631579,0.5740411931818181,0.1624233641958258,0.265625,0.13636363636363635
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,1,3,0.2833333333333333,0.265625,0.27419354838709675,0.36855252801885774,0.40789473684210525,0.35688920454545453,-0.22526243661370532,0.265625,0.48863636363636365
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,1,3,0.27419354838709675,0.265625,0.2698412698412698,0.36026939099916483,0.39473684210526316,0.38387784090909094,-0.24688099985078815,0.265625,0.5113636363636364
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,1,3,0.37037037037037035,0.3125,0.3389830508474576,0.4379056560908567,0.4868421052631579,0.4524147727272727,-0.0761994944157774,0.3125,0.38636363636363635
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,1,4,0.3898305084745763,0.359375,0.37398373983739835,0.46082312718162766,0.4934210526315789,0.4751420454545454,-0.050368524429713395,0.359375,0.4090909090909091
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,1,4,0.45614035087719296,0.40625,0.4297520661157025,0.5129709587739393,0.5460526315789473,0.4907670454545454,0.055048188256318034,0.40625,0.3522727272727273
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,1,4,0.4117647058823529,0.21875,0.2857142857142857,0.41113755716194417,0.5394736842105263,0.5047940340909091,-0.01009786248630621,0.21875,0.22727272727272727
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,1,4,0.3037974683544304,0.375,0.3356643356643357,0.375,0.375,0.34659090909090906,-0.24705654065669952,0.375,0.625
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,1,4,0.20634920634920634,0.203125,0.2047244094488189,0.2961639211345943,0.3355263157894737,0.2911931818181819,-0.3658697546942125,0.203125,0.5681818181818182
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,1,4,0.358974358974359,0.21875,0.27184466019417475,0.39573363975831477,0.506578947368421,0.44912997159090906,-0.0738660661040132,0.21875,0.2840909090909091
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,1,5,0.4406779661016949,0.4126984126984127,0.4262295081967213,0.5095835610994741,0.5394736842105263,0.52095594792224,0.04236772105934539,0.4126984126984127,0.3707865168539326
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,1,5,0.5106382978723404,0.38095238095238093,0.43636363636363634,0.5315110655866833,0.5921052631578947,0.5942571785268413,0.13060141445352813,0.38095238095238093,0.25842696629213485
BugHunter,full_mcMMO_file,GaussianNB,760,6,0.41973684210526313,1,5,0.4838709677419355,0.23809523809523808,0.3191489361702128,0.4419180917160801,0.5789473684210527,0.5591225254146602,0.07130318713533941,0.23809523809523808,0.1797752808988764
BugHunter,full_mcMMO_file,DecisionTree,760,6,0.41973684210526313,1,5,0.275,0.3492063492063492,0.3076923076923077,0.34876019296282934,0.34868421052631576,0.33556268949527374,-0.29843470656410037,0.3492063492063492,0.651685393258427
BugHunter,full_mcMMO_file,RandomForest,760,6,0.41973684210526313,1,5,0.30434782608695654,0.3333333333333333,0.3181818181818182,0.3918648394975708,0.40789473684210525,0.35357588728375244,-0.20382296484409207,0.3333333333333333,0.5393258426966292
BugHunter,full_mcMMO_file,KNN,760,6,0.41973684210526313,1,5,0.32,0.25396825396825395,0.2831858407079646,0.3961649578150576,0.46710526315789475,0.4294631710362047,-0.13426848175427802,0.25396825396825395,0.38202247191011235
BugHunter,full_mcMMO_file,Dummy,760,6,0.41973684210526313,2,1,0.4915254237288136,0.453125,0.4715447154471545,0.5464893120471965,0.5723684210526315,0.5561079545454546,0.11368895514135309,0.453125,0.3409090909090909
BugHunter,full_mcMMO_file,LogisticRegression,760,6,0.41973684210526313,2,1,0.5535714285714286,0.484375,0.5166666666666667,0.5888705001178876,0.618421052631579,0.5804332386363636,0.20499730260341312,0.484375,0.2840909090909091
