dataset,project,model,n_runs,mean_auc,std_auc,mean_mcc,std_mcc,mean_f1_score,std_f1_score,mean_g_mean,std_g_mean,mean_accuracy,std_accuracy,rank_by_auc,rank_by_mcc
JIRA,jruby-1.7.0.preview1,RandomForest,15,0.8963193256422629,0.040710821680006636,0.24028036776925063,0.11709817704118908,0.23286745246165536,0.10640156709193076,0.3871191722954153,0.10108016854044655,0.9422630768200388,0.008292754793462797,1.0,3.0
JIRA,wicket-1.5.3,DecisionTree,15,0.5707123193430365,0.04617008291543477,0.12643601651105602,0.08295751432999914,0.1647406866522497,0.07764966940885734,0.40842649885237564,0.11190308752838875,0.9210634396773011,0.011716158767806292,5.0,3.0
JIRA,wicket-1.5.3,Dummy,15,0.5099474416668093,0.02622793833721897,0.018667984578601735,0.04922097220717832,0.06222222222222222,0.04691543670326646,0.2194162957026418,0.1289009170139247,0.9163025826392164,0.004195804019906727,6.0,6.0
JIRA,wicket-1.5.3,GaussianNB,15,0.7960810954317449,0.023657041246772315,0.22143545024728828,0.061608944743435895,0.24845371260582383,0.05222610910166893,0.5976332520896466,0.08116540969711318,0.9021572633453822,0.007489870172020406,3.0,1.0
JIRA,wicket-1.5.3,KNN,15,0.6560029864942344,0.043542492542967694,0.054013252529077065,0.0868346008311289,0.03417695348130131,0.04346426815717098,0.08715153059887623,0.11048495365458517,0.9564982450626015,0.0025470697535936305,4.0,4.0
JIRA,wicket-1.5.3,LogisticRegression,15,0.7976411285558659,0.03530132090592226,0.22021533184510472,0.04625262649928028,0.2167834746473797,0.029904827874615514,0.7053183145467997,0.05844362203705883,0.8179299596626329,0.016336698516031756,2.0,2.0
JIRA,wicket-1.5.3,RandomForest,15,0.8104860752940933,0.03178140410359441,0.03457148134385025,0.08791483931471952,0.022968818620992534,0.05049057750002342,0.04963315319784269,0.10461797006502,0.9572918958562523,0.0018204661832160794,1.0,5.0
Kamei,bugzilla,DecisionTree,15,0.6903472868066022,0.021974644050090295,0.3449462886578432,0.0422475558235315,0.5939580712902572,0.026237747649222175,0.6721608041409405,0.021942127448188943,0.6901154401154401,0.020675029097898347,5.0,2.0
Kamei,bugzilla,Dummy,15,0.503955591013434,0.01529315580138662,0.007977415037708123,0.030831259146725715,0.36536536536536535,0.019713802836278348,0.4824875135821527,0.0172144492041615,0.5425685425685426,0.01420929944692788,6.0,6.0
Kamei,bugzilla,GaussianNB,15,0.6933596641255695,0.02481889525606392,0.10837974072813233,0.05272022803511733,0.5484388088487216,0.011033352095242203,0.28468011116655323,0.09625887945056355,0.4147186147186147,0.03834896809250853,4.0,5.0
Kamei,bugzilla,KNN,15,0.707144472152028,0.01726406070090534,0.30387535784025965,0.035799018134865156,0.5376055168444714,0.02681587160113952,0.6288486938399529,0.02146017812104823,0.6854256854256854,0.01546665522401458,3.0,4.0
Kamei,bugzilla,LogisticRegression,15,0.750731259420245,0.019749305333976324,0.3335651247965474,0.033111669584845085,0.6043249754531033,0.020513457723696712,0.6720346914410785,0.016712141629536867,0.6673160173160173,0.014513006036243822,2.0,3.0
Kamei,bugzilla,RandomForest,15,0.8205520375755182,0.01492285154191126,0.46598452710034105,0.03415052398554265,0.6417036372710708,0.025059480899541776,0.7104274252457464,0.02023228737573729,0.7582972582972582,0.01498867049518131,1.0,1.0
Kamei,columba,DecisionTree,15,0.6527669271201872,0.021279842245289695,0.27320491812310316,0.0429380906885239,0.5118892223162607,0.027444063734812355,0.6362578954366148,0.022698540998579424,0.6751964085297418,0.0215292720364309,5.0,4.0
Kamei,columba,Dummy,15,0.4945091218539221,0.013195372337388338,-0.011024326190098632,0.026510180135595675,0.29543871659706533,0.018597685807648385,0.45152124091011664,0.016732486257771392,0.5728395061728394,0.011100822330437767,6.0,6.0
Kamei,columba,GaussianNB,15,0.6979944344617219,0.023308260609706293,0.18996213976467055,0.033011225227897456,0.2751766656515853,0.06401467341223577,0.41241627023901073,0.06090162451577267,0.7069958847736626,0.008698393729003781,4.0,5.0
Kamei,columba,KNN,15,0.7009537274322732,0.014606145265373434,0.2899004838564879,0.035174031898264894,0.46559175663691305,0.027345424758533788,0.5863375897205236,0.022227135225171047,0.7194912083800973,0.013781469777225924,3.0,3.0
Kamei,columba,LogisticRegression,15,0.7292448673767127,0.018067971221435043,0.33147683591751653,0.024661037457085446,0.5554221034352653,0.01641357142699222,0.6728998946001249,0.013624446645128314,0.6936775158997381,0.012356363288696133,2.0,2.0
Kamei,columba,RandomForest,15,0.7950944848963314,0.017168744334110798,0.42683350123265507,0.032470665189422966,0.5729720071886656,0.022628889332411552,0.6690483995232931,0.016746894029831802,0.7699214365881032,0.013026541348051682,1.0,1.0
Kamei,postgres,DecisionTree,15,0.6688546315893348,0.008854923174474161,0.30692510992863886,0.016728825118320623,0.4921176339731919,0.013116005727145889,0.6478358550720597,0.01140807582923221,0.7253521236966113,0.005675392815511719,5.0,4.0
Kamei,postgres,Dummy,15,0.5038573511050497,0.009854729091756756,0.0077114026363403285,0.0197021632094329,0.25647565631608915,0.014756712068141333,0.4388960695565866,0.014168539665394535,0.6272004963986308,0.007408418578539766,6.0,6.0
Kamei,postgres,GaussianNB,15,0.6792072245270403,0.013238459512457713,0.09569531916721792,0.10556974433959225,0.3889299897134096,0.03138472006412325,0.21565452739647448,0.1265170729932318,0.3692067135176209,0.2125609590120762,4.0,5.0
Kamei,postgres,KNN,15,0.7153455079614655,0.0069819915843226475,0.33059325237246046,0.016063413924966945,0.4528778643526564,0.012047406705811585,0.5821074208617808,0.009223658499527507,0.7740524167156801,0.005657649617594026,3.0,3.0
Kamei,postgres,LogisticRegression,15,0.7763551233396246,0.008720460889355358,0.3749395908770221,0.016168384786424992,0.5431402324910378,0.011363388094710613,0.6901123609149146,0.008811431869549526,0.7493841146290247,0.00735827920153359,2.0,2.0
Kamei,postgres,RandomForest,15,0.8255752298501309,0.0073759923924358985,0.4448987272397843,0.01567132604136938,0.5574731925293424,0.011709774827354467,0.6665333466092623,0.008510434748365778,0.8065357875571629,0.0056244306956234275,1.0,1.0
NASA,CM1,DecisionTree,15,0.5606887589343731,0.08015514890957648,0.10831140244607934,0.13749303849721806,0.23074076514512643,0.11581205973059916,0.4563317020414251,0.12830362983052382,0.77990675990676,0.043725421499844416,5.0,3.0
NASA,CM1,Dummy,15,0.4624269005847953,0.05177803167549196,-0.07330510974452138,0.09972658775687707,0.06928104575163398,0.08595987104819273,0.16795790197562735,0.19215147057006635,0.7523543123543124,0.023970140248206147,6.0,6.0
NASA,CM1,GaussianNB,15,0.7108674463937622,0.07457782802337762,0.22115716955873496,0.1331708771075788,0.3173425017107433,0.10755060145999161,0.5319648783186285,0.10024188829943328,0.8136907536907537,0.054029960961252274,3.0,2.0
