dataset,project,n_features,n_methods,n_importance_runs,mean_pairwise_spearman,mean_pairwise_kendall,mean_top5_jaccard,mean_top10_jaccard,mean_top20_jaccard,feature_importance_stability_score,feature_importance_stability_level,warnings
JIRA,hive-0.12.0,67,4,60,0.47579131133239877,0.3523412915993695,0.41482378262039277,0.333212508078699,0.3797381213266035,39.12,low,unstable_feature_importance
JIRA,jruby-1.7.0.preview1,67,4,60,0.4736712464341994,0.35237862118186475,0.18590933548560667,0.2892276487687622,0.4368385086636998,34.76,low,unstable_feature_importance
JIRA,wicket-1.5.3,67,4,60,0.5025519290600934,0.3708643483398935,0.15578423459779395,0.26158767875197536,0.4187597157401531,34.19,low,unstable_feature_importance
Kamei,bugzilla,15,4,60,0.3888607596667054,0.3152756699138696,0.4392812303829253,0.6054354308591596,1.0,54.98,limited,limited_feature_importance_stability
Kamei,columba,15,4,60,0.49217393056047054,0.3764282038178681,0.3664447134786118,0.6932199627114882,1.0,58.57,limited,limited_feature_importance_stability
Kamei,postgres,15,4,60,0.4878793381759482,0.40923325262308313,0.47192628463814906,0.6716697615002698,1.0,60.81,limited,limited_feature_importance_stability
NASA,CM1,37,4,60,0.35545191032619944,0.2590386097572323,0.2770805308940902,0.34590509643114986,0.47779305819342804,34.31,low,unstable_feature_importance
NASA,KC3,39,4,60,0.2527457387879805,0.18116478612998724,0.2139897767016411,0.2726543924883118,0.42710476563369054,26.95,low,unstable_feature_importance
NASA,MC2,39,4,60,0.2112923258111962,0.14887506312039442,0.15315218366065822,0.24632813080233973,0.4317605265585433,23.83,low,unstable_feature_importance
NASA,MW1,37,4,60,0.2597017073221647,0.19168335289839888,0.1825284727827101,0.2963348285526488,0.46042995792875463,27.81,low,unstable_feature_importance
NASA,PC1,37,4,60,0.32315812040223507,0.24493559312561017,0.3576226347412788,0.3730321561289185,0.48748343834017244,35.72,low,unstable_feature_importance
NASA,PC2,36,4,60,0.34606573204931185,0.2573984504717763,0.2598623441843781,0.32191791346957427,0.5003157417964312,33.71,low,unstable_feature_importance
NASA,PC3,37,4,60,0.434494792757258,0.32627212718435017,0.37770379338175947,0.3784361940866113,0.5497753062662052,41.33,low,unstable_feature_importance
NASA,PC4,37,4,60,0.49753344636666336,0.3746048535724986,0.5049098735539413,0.4754972548591691,0.5349641223139547,47.75,low,unstable_feature_importance
NASA,PC5,38,4,60,0.20125090909393023,0.15555750523694514,0.16462424894628286,0.2596080415438132,0.43563038627475287,24.33,low,unstable_feature_importance
Promise,ant-1.7,20,4,60,0.5182548255619027,0.40007936592354265,0.4367993901892207,0.5314588295645125,1.0,57.73,limited,limited_feature_importance_stability
Promise,camel-1.6,20,4,60,0.2153861147163247,0.16725168350651445,0.26422518159806296,0.4273560933147961,1.0,41.48,low,unstable_feature_importance
Promise,jedit-4.3,20,4,60,0.16003502395842642,0.12342109205146747,0.21612187247780468,0.4147770057357085,1.0,38.29,low,unstable_feature_importance
Promise,prop-2,20,4,60,0.5264198692639215,0.4195790443630833,0.4193188951663528,0.5694305832640828,1.0,58.69,limited,limited_feature_importance_stability
Promise,velocity-1.6,20,4,60,0.4087009261308947,0.30767474227181313,0.38861312886736615,0.47863923768709404,1.0,51.67,limited,limited_feature_importance_stability
Promise,xalan-2.7,20,4,60,0.38128905816761527,0.2927807283529123,0.33534660568558866,0.49127316660375375,1.0,50.01,limited,limited_feature_importance_stability
Promise,xerces-1.4,20,4,60,0.4604257889422185,0.3543951140375492,0.5103241861716438,0.4911421690085698,1.0,56.33,limited,limited_feature_importance_stability
ReLink,Apache,26,4,60,0.28943505672397934,0.21043372351751016,0.2771141601650076,0.3764040379208034,0.6608266048207093,36.28,low,unstable_feature_importance
ReLink,Safe,26,4,60,0.4700046797388363,0.367336623220759,0.34915254237288135,0.4739442942163727,0.6993713712799932,47.2,low,unstable_feature_importance
ReLink,Zxing,26,4,60,0.2387604438991176,0.18254391286075264,0.2696462200699489,0.35828752333842323,0.6606270451075167,34.2,low,unstable_feature_importance
UnifiedBugDataSet_File,Unified-file,6,4,60,0.8576916868442293,0.7746139359698682,0.9888888888888888,1.0,1.0,92.42,high,none
