dataset,project_a,project_b,n_a,n_b,n_common_features,feature_set_jaccard,label_prevalence_a,label_prevalence_b,label_prevalence_abs_diff,mean_ks_statistic,median_ks_statistic,max_ks_statistic,mean_ks_pvalue,mean_wasserstein_distance,median_wasserstein_distance,max_wasserstein_distance,mean_feature_mean_shift,mean_feature_std_shift,project_size_ratio,pairwise_stability_score,pairwise_stability_level,warnings
BugHunter,full_mcMMO_file,full_mct_file,760,55,6,1.0,0.41973684210526313,0.2545454545454545,0.1651913875598086,0.1625598086124402,0.1680622009569378,0.2950956937799043,0.2310553111080396,0.041491389521646355,0.0491289412342044,0.06550268608393117,0.029350993705878934,0.08507444221223903,0.07236842105263158,78.71,moderate,moderate_label_distribution_shift;large_project_size_mismatch
BugHunter,full_mcMMO_file,full_neo4j_file,760,3655,6,1.0,0.41973684210526313,0.4642954856361149,0.04455864353085176,0.18683970528235772,0.14259125926992583,0.45524515803873566,0.16852914767827662,0.03981149361234353,0.01534539459616366,0.139084118096286,0.035366750323108154,0.04256780836256411,0.2079343365253078,84.46,moderate,large_project_size_mismatch
BugHunter,full_mcMMO_file,full_netty_file,760,4566,6,1.0,0.41973684210526313,0.4231274638633377,0.0033906217580745857,0.15112540440018138,0.1543649284182862,0.26763031099430573,0.16666666667377825,0.017158371040856466,0.018366239580521394,0.029769223726648253,0.01280960880384499,0.020371793468598954,0.16644765659220323,87.26,high,large_project_size_mismatch
BugHunter,full_mcMMO_file,full_orientdb_file,760,3925,6,1.0,0.41973684210526313,0.45554140127388537,0.03580455916862224,0.20133422728796513,0.21654039557492455,0.37447033188065704,0.16666666666737315,0.022588537668428475,0.01747939640524491,0.057521492507386085,0.01591087237249016,0.03914484149076817,0.19363057324840766,84.78,moderate,large_project_size_mismatch
BugHunter,full_mcMMO_file,full_oryx_file,760,513,6,1.0,0.41973684210526313,0.15009746588693956,0.26963937621832357,0.28295159194282,0.29844054580896684,0.5525828460038986,0.1666666666666704,0.07130517698253479,0.07279418348621114,0.15537395244997587,0.07063880597871078,0.08826475772199328,0.675,76.67,moderate,large_label_distribution_shift;moderate_feature_distribution_shift
BugHunter,full_mcMMO_file,full_titan_file,760,462,6,1.0,0.41973684210526313,0.4025974025974026,0.01713943950786051,0.18158559276980327,0.1796764638869902,0.30103098655730237,0.16668119586931954,0.033450602310292635,0.034180591340793084,0.06037687547593491,0.02022504918204567,0.048964616411678465,0.6078947368421053,89.9,high,none
BugHunter,full_mct_file,full_neo4j_file,55,3655,6,1.0,0.2545454545454545,0.4642954856361149,0.20975003109066037,0.18278821042158935,0.1610869294863823,0.44914811590598186,0.26300668917683806,0.042518873235288045,0.03232922878269248,0.12233361713525874,0.04177506628774629,0.07719241906967858,0.015047879616963064,75.75,moderate,large_label_distribution_shift;large_project_size_mismatch
BugHunter,full_mct_file,full_netty_file,55,4566,6,1.0,0.2545454545454545,0.4231274638633377,0.1685820093178832,0.11746373060433507,0.11282403536017202,0.21633815155497152,0.4728081564738948,0.016917166117755185,0.020003183110477198,0.02730283822220381,0.014010893741875854,0.037187073971666595,0.012045554095488393,79.86,moderate,moderate_label_distribution_shift;large_project_size_mismatch
BugHunter,full_mct_file,full_orientdb_file,55,3925,6,1.0,0.2545454545454545,0.45554140127388537,0.20099594672843085,0.1556417679984559,0.14365952518818761,0.31105964099594674,0.32816989816474623,0.021195192088734553,0.010546625956405896,0.06490085097481636,0.020103180065475564,0.05133281315263919,0.014012738853503185,77.43,moderate,large_label_distribution_shift;large_project_size_mismatch
BugHunter,full_mct_file,full_oryx_file,55,513,6,1.0,0.2545454545454545,0.15009746588693956,0.10444798865851496,0.34763423710792135,0.4417508417508418,0.540776182881446,0.18105708727533076,0.08543689044070431,0.10263676779440815,0.1386234514889486,0.08518912553495213,0.14704357721189348,0.10721247563352826,75.33,moderate,moderate_label_distribution_shift;moderate_feature_distribution_shift;large_project_size_mismatch
BugHunter,full_mct_file,full_titan_file,55,462,6,1.0,0.2545454545454545,0.4025974025974026,0.1480519480519481,0.1784992784992785,0.1854978354978355,0.27316017316017316,0.20291621551833136,0.03246548012488406,0.03129496974601857,0.05633889919604203,0.026353369021207464,0.03456839312857518,0.11904761904761904,79.88,moderate,moderate_label_distribution_shift;large_project_size_mismatch
BugHunter,full_neo4j_file,full_netty_file,3655,4566,6,1.0,0.4642954856361149,0.4231274638633377,0.041168021772777175,0.16755333289790975,0.16473865896326442,0.31369660842976066,0.1666666666698926,0.014696572854012963,0.013129964728383871,0.03919716196334089,0.013975829291441809,0.021379799181105327,0.8004818221638196,91.7,high,none
BugHunter,full_neo4j_file,full_orientdb_file,3655,3925,6,1.0,0.4642954856361149,0.45554140127388537,0.00875408436222952,0.21761772402636068,0.17802974722699033,0.413785495830683,0.16666666666666666,0.020074369583763647,0.016242424313878973,0.043450528260384105,0.0200337310600085,0.051333617950485626,0.9312101910828026,92.76,high,none
BugHunter,full_neo4j_file,full_oryx_file,3655,513,6,1.0,0.4642954856361149,0.15009746588693956,0.31419801974917533,0.23503900857682028,0.2860574448737744,0.40058772863150427,0.16669118225997184,0.020843444432245756,0.02398406054942457,0.03368543850547267,0.01864184375294213,0.0372036516079316,0.14035567715458278,72.27,moderate,large_label_distribution_shift;large_project_size_mismatch
BugHunter,full_neo4j_file,full_titan_file,3655,462,6,1.0,0.4642954856361149,0.4025974025974026,0.06169808303871227,0.18545707218757834,0.13015468343785716,0.45908232214661765,0.16675866820191812,0.027354243191235864,0.01819489682220161,0.08373448785457958,0.023906461917763702,0.04401488035517715,0.12640218878248974,83.29,moderate,large_project_size_mismatch
BugHunter,full_netty_file,full_orientdb_file,4566,3925,6,1.0,0.4231274638633377,0.45554140127388537,0.032413937410547655,0.13336338095756228,0.1211259628770949,0.3109916831970449,0.16666666666666666,0.013466340686026224,0.011393820538218417,0.03514195454759146,0.011753588663647061,0.03263069393566173,0.8596145422689444,93.48,high,none
BugHunter,full_netty_file,full_oryx_file,4566,513,6,1.0,0.4231274638633377,0.15009746588693956,0.27302999797639815,0.2850516445393915,0.3303683723837261,0.42563647401464677,0.16666666666666666,0.032559426299262735,0.03450755473364235,0.05995431408494626,0.03241313265238118,0.05255504189060936,0.11235216819973719,72.0,moderate,large_label_distribution_shift;moderate_feature_distribution_shift;large_project_size_mismatch
BugHunter,full_netty_file,full_titan_file,4566,462,6,1.0,0.4231274638633377,0.4025974025974026,0.020530061265935096,0.12031095638191565,0.12967245194577653,0.24912253755880562,0.20523408046940964,0.010474971875613479,0.01087597472983843,0.018535011298308438,0.0032787765735820666,0.023241929801838684,0.1011826544021025,86.88,high,large_project_size_mismatch
BugHunter,full_orientdb_file,full_oryx_file,3925,513,6,1.0,0.45554140127388537,0.15009746588693956,0.3054439353869458,0.34123191914677004,0.4257312424727778,0.5669167256428403,0.16666666666717955,0.031121892246000444,0.022346800205719584,0.09744026180025642,0.03111966789715882,0.07277275129667377,0.13070063694267517,69.42,limited,large_label_distribution_shift;moderate_feature_distribution_shift;large_project_size_mismatch
BugHunter,full_orientdb_file,full_titan_file,3925,462,6,1.0,0.45554140127388537,0.4025974025974026,0.05294399867648275,0.11914118436411429,0.14815010891444014,0.1736862712658891,0.16742650366020317,0.01787255243592157,0.013650300321836565,0.05156933083701351,0.016974452033678724,0.05229992268515152,0.11770700636942676,85.38,high,large_project_size_mismatch
BugHunter,full_oryx_file,full_titan_file,513,462,6,1.0,0.15009746588693956,0.4025974025974026,0.25249993671046306,0.2781997080242694,0.2828156249208881,0.49013949013949015,0.16666666666833532,0.06644431856737675,0.05403111757145755,0.1592972329814435,0.06629652690307831,0.10071385510863644,0.9005847953216374,79.79,moderate,large_label_distribution_shift;moderate_feature_distribution_shift
JIRA,activemq-5.8.0,derby-10.5.1.1,2825,2681,67,1.0,0.07292035398230089,0.14285714285714285,0.06993678887484196,0.20083049382912507,0.1437428247946051,0.8142484147706079,0.07256181489565355,0.03240088662118834,0.011025863166967647,0.78572561619703,0.03202164996353198,0.029881480299307372,0.9490265486725664,90.72,high,none
JIRA,activemq-5.8.0,groovy-1_6_BETA_2,2825,868,67,1.0,0.07292035398230089,0.08410138248847926,0.011181028506178373,0.13868871457727067,0.07692304555279149,0.6567811263814689,0.17488807162943557,0.022517273173074233,0.007458737991342676,0.6441297157591698,0.020212754008393508,0.029857343831725006,0.3072566371681416,88.47,high,none
JIRA,activemq-5.8.0,hbase-0.95.2,2825,1821,67,1.0,0.07292035398230089,0.2652388797364086,0.19231852575410768,0.15554852757251486,0.1327107054861425,0.5256882098234462,0.08034977288115236,0.021317925157746626,0.0058679347397922,0.38051212897586073,0.019378054066399638,0.03327289162782892,0.6446017699115044,84.18,moderate,moderate_label_distribution_shift
JIRA,activemq-5.8.0,hive-0.12.0,2825,2537,67,1.0,0.07292035398230089,0.08277493102089081,0.009854577038589926,0.1276007702565236,0.08693495557780251,0.6233381354188104,0.023338387033551775,0.019710874185623225,0.005594793958304043,0.479856112479099,0.015534886145901006,0.028529700245839916,0.8980530973451327,94.8,high,none
JIRA,activemq-5.8.0,jruby-1.7.0.preview1,2825,1576,67,1.0,0.07292035398230089,0.05520304568527919,0.0177173082970217,0.14729748566363635,0.09430865639459143,0.6277209020259646,0.06999207484925347,0.023503284282710632,0.00954874100130402,0.5568836574280626,0.02105636563281368,0.03501061185712497,0.5578761061946903,90.45,high,none
JIRA,activemq-5.8.0,wicket-1.5.3,2825,2521,67,1.0,0.07292035398230089,0.04165013883379611,0.031270215148504775,0.2159330072772413,0.20881978987127597,0.7033900720672018,0.09063133925292945,0.03492167389249677,0.015354463659189344,0.6354579569499981,0.03368276563946777,0.027378650521024766,0.8923893805309735,91.28,high,none
JIRA,derby-10.5.1.1,groovy-1_6_BETA_2,2681,868,67,1.0,0.14285714285714285,0.08410138248847926,0.05875576036866359,0.15838618628530768,0.15402894923656316,0.526251037768767,0.07462434166282331,0.01734185194041027,0.010023368977855647,0.1415959004378602,0.01566508123048571,0.022180627775234576,0.3237597911227154,86.4,high,none
